content_type_name,parent_content_type_name,post_count,topic_count,view_count,watch_count,participants,title,project_id,categories
project,project,1179,19,15769,713,755,#AccessibleOlli,266,Ground Mobility
project,project,10980,48,5367,359,376,Airbus Cargo Drone Build,166,Air Mobility
project,project,116,8,1809,357,368,Axion,250,Consumer Products
project,project,116,8,1809,357,368,Axion,250,Ground Mobility
project,project,116,8,1809,357,368,Axion,250,Infrastructure and Energy
project,project,111,5,1935,72,78,Camilo Pardo 3E concept,143,Consumer Products
project,project,111,5,1935,72,78,Camilo Pardo 3E concept,143,Ground Mobility
project,project,32,3,559,175,181,Detecting Corrosion Under Insulation,264,Industrial Inspection and Monitoring
project,project,88,12,1283,116,122,Detecting Weld Seams,211,Industrial Inspection and Monitoring
project,project,753,5,2474,2562,2632,Explore with Us: The Future of Mobility,322, Air Mobility
project,project,753,5,2474,2562,2632,Explore with Us: The Future of Mobility,322,Ground Mobility
project,project,134,21,2462,9743,9836,Farming Mars,276,Mars
project,project,206,4,2978,932,951,High Temperature Clamping,272,Industrial Inspection and Monitoring
project,project,206,4,2978,932,951,High Temperature Clamping,272,Infrastructure and Energy
project,project,179,5,1786,413,431,House the World,268,Architecture and Construction
project,project,143,9,2192,7824,7891,Initiate Launch Sequence,271,Mars
project,project,235,7,2559,2305,2355,IoT Wallet,280,Consumer Products
project,project,51,1,925,2054,2091,LA 2060: World Athletic Games,290,Ground Mobility
project,project,51,1,925,2054,2091,LA 2060: World Athletic Games,290,Adaptive Sports
project,project,2,2,531,21,21,LMDRONES: 3D Printed Box Wing,136,Air Mobility
project,project,1,3,496,26,27,LMDRONES: Modifying the FliteTest Mini Arrow,137,Air Mobility
project,project,6,2,711,61,63,LMDRONES: Racing Quadcopters,138,Consumer Products
project,project,6,2,711,61,63,LMDRONES: Racing Quadcopters,138,Air Mobility
project,project,9,0,489,13,17,LMDRONES: re:3D Gigabot,139,Air Mobility
project,project,871,3,2049,2780,2853,Mass Mobility,310,Adaptive Sports
project,project,132,2,1214,51,53,Measuring Reflective Objects,209,Industrial Inspection and Monitoring
project,project,2665,1,125156,4485,4599,Modular Logistics Vehicle,293,Ground Mobility
project,project,1586,27,6116,482,503,"Olli: self-driving, cognitive electric shuttle",155,Ground Mobility
project,project,373,9,2414,111,124,On-Wing Engine Inspection,210,Industrial Inspection and Monitoring
project,project,198,5,4417,240,253,Position Sensor for Inspection Probes,267,Industrial Inspection and Monitoring
project,project,142,12,5245,1860,1893,Robots 4 Humanity,284,Health and Wellness
project,project,63,6,2520,12525,12670,Robots of Mars,275,Mars
project,project,258,10,1857,106,112,Speedy CT Image Delivery,208,Industrial Inspection and Monitoring
project,project,49,3,15325,341,361,Strati: the World’s First 3D-Printed Car,149,Ground Mobility
project,project,1255,5,5178,2788,2880,Super Human Sports,309,Adaptive Sports
project,project,82,18,3964,12602,12746,Technicolor VR Experience,278,Mars
project,project,83,12,3413,10550,10644,The Mars Lifestyle,277,Mars
project,project,7285,53,16973,17116,17379,The Urbanization of Mars,279,Mars
project,project,218,3,632,106,116,Universal X-ray Plate Adapter,263,Industrial Inspection and Monitoring
project,project,2144,2,2798,4138,4247,Unmanned Cargo System,311,Ground Mobility
project,project,2144,2,2798,4138,4247,Unmanned Cargo System,311, Air Mobility
