action,project_ids,user_id
follow,"[266, 208]",83093
follow,"[266, 264]",83094
follow,"[250, 208, 263, 266]",83095
follow,[266],83096
follow,"[264, 211, 208, 250, 266, 263]",75687
follow,[266],83100
follow,"[264, 263, 208]",83107
follow,"[157, 149, 166, 250]",83109
follow,"[149, 166, 266, 155]",83113
follow,"[264, 263, 208]",83124
follow,[250],83092
follow,"[149, 157, 266, 250, 166, 155]",83130
follow,"[266, 250]",83135
follow,"[250, 166, 149]",83137
follow,"[250, 157, 155, 149, 166]",83138
follow,[266],83140
follow,[264],83152
follow,"[266, 155, 149]",83157
follow,"[149, 155, 166, 266]",83160
follow,[263],82154
follow,"[266, 166, 155]",83165
follow,[149],83169
follow,"[209, 210, 211, 208, 264]",83171
follow,"[157, 155, 166, 149]",83173
follow,"[264, 210, 211]",83174
follow,"[166, 157, 149]",83190
follow,"[166, 149, 266, 250]",83197
follow,"[166, 155]",83198
follow,"[266, 157, 155, 149, 166]",83200
follow,[208],83205
follow,"[266, 250, 166, 157, 155, 149]",83215
follow,"[250, 166, 157, 149]",83218
follow,"[211, 210, 208, 263, 209, 264]",83224
follow,"[264, 208]",83225
follow,"[266, 264]",80373
follow,[266],80373
follow,[266],83226
follow,[263],83227
follow,"[263, 208]",83230
follow,"[266, 155, 149]",83232
follow,"[267, 263, 264, 208]",83241
follow,[157],83242
follow,"[250, 157, 149]",83243
follow,[266],83263
follow,"[211, 209, 264]",83269
follow,"[267, 263, 208, 209]",83276
follow,"[155, 149, 166, 250, 266, 157]",83280
follow,"[264, 211, 267]",83284
follow,"[266, 155, 166, 250]",83289
follow,[267],83291
follow,"[267, 266, 264]",83293
follow,"[250, 157, 149]",83298
follow,"[264, 211]",83311
follow,"[266, 155, 250]",83314
follow,"[267, 266]",83317
follow,"[166, 155, 149]",83319
follow,"[250, 157]",83325
follow,"[157, 250, 166, 149]",83329
follow,"[155, 250, 149]",83331
follow,[266],83342
follow,"[166, 149]",83344
follow,[250],83353
follow,"[149, 250, 266, 166, 157, 155]",83356
follow,"[266, 250, 166, 157, 155, 149]",83357
follow,"[264, 267]",83362
follow,"[157, 149, 250]",83367
follow,"[267, 264, 263, 209, 211, 208]",83370
follow,"[267, 264, 208]",82742
follow,"[209, 267]",83377
follow,"[267, 264, 263, 209, 211, 208]",80412
follow,"[250, 155, 266, 149, 157, 166]",83383
follow,"[250, 266, 155]",83389
follow,"[250, 155, 166]",83394
follow,"[266, 250, 166, 155]",74503
follow,"[267, 208, 209]",83412
follow,"[266, 268, 267, 264, 263, 250]",83430
follow,"[211, 264, 263, 209, 267]",83432
follow,"[155, 149, 157]",83459
follow,"[166, 266]",83555
follow,[155],83573
follow,"[268, 267]",83634
follow,"[157, 149, 250]",57828
follow,"[149, 155, 157, 266, 250, 166]",83787
follow,"[208, 211, 264]",83799
follow,[268],83800
follow,"[250, 268, 267, 266, 264, 263]",83803
follow,"[266, 250, 157, 166, 155, 149]",83808
follow,"[268, 250]",83813
follow,"[266, 250, 166, 157, 155, 149]",83826
follow,"[263, 264, 250]",83902
follow,[268],83977
follow,"[267, 268, 266, 264, 263, 250]",83982
follow,"[268, 267, 266]",83984
follow,"[267, 268, 266]",83984
follow,[266],84001
