,action,project_ids,user_id
0,follow,266,83093
1,follow,208,83093
2,follow,266,83094
3,follow,264,83094
4,follow,250,83095
5,follow,208,83095
6,follow,263,83095
7,follow,266,83095
8,follow,266,83096
9,follow,264,75687
10,follow,211,75687
11,follow,208,75687
12,follow,250,75687
13,follow,266,75687
14,follow,263,75687
15,follow,266,83100
16,follow,264,83107
17,follow,263,83107
18,follow,208,83107
19,follow,157,83109
20,follow,149,83109
21,follow,166,83109
22,follow,250,83109
23,follow,149,83113
24,follow,166,83113
25,follow,266,83113
26,follow,155,83113
27,follow,264,83124
28,follow,263,83124
29,follow,208,83124
30,follow,250,83092
31,follow,149,83130
32,follow,157,83130
33,follow,266,83130
34,follow,250,83130
35,follow,166,83130
36,follow,155,83130
37,follow,266,83135
38,follow,250,83135
39,follow,250,83137
40,follow,166,83137
41,follow,149,83137
42,follow,250,83138
43,follow,157,83138
44,follow,155,83138
45,follow,149,83138
46,follow,166,83138
47,follow,266,83140
48,follow,264,83152
49,follow,266,83157
50,follow,155,83157
51,follow,149,83157
52,follow,149,83160
53,follow,155,83160
54,follow,166,83160
55,follow,266,83160
56,follow,263,82154
57,follow,266,83165
58,follow,166,83165
59,follow,155,83165
60,follow,149,83169
61,follow,209,83171
62,follow,210,83171
63,follow,211,83171
64,follow,208,83171
65,follow,264,83171
66,follow,157,83173
67,follow,155,83173
68,follow,166,83173
69,follow,149,83173
70,follow,264,83174
71,follow,210,83174
72,follow,211,83174
73,follow,166,83190
74,follow,157,83190
75,follow,149,83190
76,follow,166,83197
77,follow,149,83197
78,follow,266,83197
79,follow,250,83197
80,follow,166,83198
81,follow,155,83198
82,follow,266,83200
83,follow,157,83200
84,follow,155,83200
85,follow,149,83200
86,follow,166,83200
87,follow,208,83205
88,follow,266,83215
89,follow,250,83215
90,follow,166,83215
91,follow,157,83215
92,follow,155,83215
93,follow,149,83215
94,follow,250,83218
95,follow,166,83218
96,follow,157,83218
97,follow,149,83218
98,follow,211,83224
99,follow,210,83224
100,follow,208,83224
101,follow,263,83224
102,follow,209,83224
103,follow,264,83224
104,follow,264,83225
105,follow,208,83225
106,follow,266,80373
107,follow,264,80373
108,follow,266,80373
109,follow,266,83226
110,follow,263,83227
111,follow,263,83230
112,follow,208,83230
113,follow,266,83232
114,follow,155,83232
115,follow,149,83232
116,follow,267,83241
117,follow,263,83241
118,follow,264,83241
119,follow,208,83241
120,follow,157,83242
121,follow,250,83243
122,follow,157,83243
123,follow,149,83243
124,follow,266,83263
125,follow,211,83269
126,follow,209,83269
127,follow,264,83269
128,follow,267,83276
129,follow,263,83276
130,follow,208,83276
131,follow,209,83276
132,follow,155,83280
133,follow,149,83280
134,follow,166,83280
135,follow,250,83280
136,follow,266,83280
137,follow,157,83280
138,follow,264,83284
139,follow,211,83284
140,follow,267,83284
141,follow,266,83289
142,follow,155,83289
143,follow,166,83289
144,follow,250,83289
145,follow,267,83291
146,follow,267,83293
147,follow,266,83293
148,follow,264,83293
149,follow,250,83298
